,checking_account_status,loan_duration_mo,credit_history,purpose,loan_amount,savings_account_balance,time_employed_yrs,payment_pcnt_income,gender_status,other_signators,time_in_residence,property,age_yrs,other_credit_outstanding,home_ownership,number_loans,job_category,dependents,telephone,foreign_worker,bad_credit,dummy,checking_account_status_cat,credit_history_cat,purpose_cat,savings_account_balance_cat,time_employed_yrs_cat,gender_status_cat,other_signators_cat,property_cat,other_credit_outstanding_cat,home_ownership_cat,job_category_cat,telephone_cat,foreign_worker_cat
500,< 0 DM,12,critical account - other non-bank loans,car (new),2122,< 100 DM,1 - 4 years,3,male-single,none,2,real estate,39,none,rent,2,unskilled-resident,2,none,no,0,1.0,1,1,1,2,0,3,2,2,1,2,3,0,0
501,< 0 DM,24,current loans paid,furniture/equipment,2996,unknown/none,1 - 4 years,2,male-married/widowed,none,4,car or other,20,none,own,1,skilled,1,none,yes,1,1.0,1,2,5,4,0,2,2,1,1,1,1,0,1
502,0 - 200 DM,36,current loans paid,furniture/equipment,9034,100 - 500 DM,< 1 year,4,male-single,co-applicant,1,unknown-none,29,none,rent,1,highly skilled,1,yes,yes,1,1.0,0,2,5,0,2,3,0,3,1,2,0,1,1
503,none,24,critical account - other non-bank loans,furniture/equipment,1585,< 100 DM,4 - 7 years,4,male-single,none,3,building society savings/life insurance,40,none,own,2,skilled,1,none,yes,0,1.0,3,1,5,2,1,3,2,0,1,1,1,0,1
504,0 - 200 DM,18,current loans paid,radio/television,1301,< 100 DM,>= 7 years,4,male-married/widowed,guarantor,2,real estate,32,none,own,1,unskilled-resident,1,none,yes,0,1.0,0,2,7,2,3,2,1,2,1,1,3,0,1
505,> 200 DM or salary assignment,6,critical account - other non-bank loans,car (new),1323,100 - 500 DM,>= 7 years,2,male-divorced/separated,none,4,car or other,28,none,own,2,skilled,2,yes,yes,0,1.0,2,1,1,0,3,1,2,1,1,1,1,1,1
506,< 0 DM,24,current loans paid,car (new),3123,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,building society savings/life insurance,27,none,own,1,skilled,1,none,yes,1,1.0,1,2,1,2,2,0,2,0,1,1,1,0,1
507,< 0 DM,36,current loans paid,car (used),5493,< 100 DM,>= 7 years,2,male-single,none,4,unknown-none,42,none,for free,1,skilled,2,none,yes,0,1.0,1,2,2,2,3,3,2,3,1,0,1,0,1
508,> 200 DM or salary assignment,9,current loans paid,radio/television,1126,100 - 500 DM,>= 7 years,2,male-divorced/separated,none,4,real estate,49,none,own,1,skilled,1,none,yes,0,1.0,2,2,7,0,3,1,2,2,1,1,1,0,1
509,0 - 200 DM,24,critical account - other non-bank loans,radio/television,1216,100 - 500 DM,< 1 year,4,male-single,none,4,unknown-none,38,bank,own,2,skilled,2,none,yes,1,1.0,0,1,7,0,2,3,2,3,0,1,1,0,1
510,< 0 DM,24,current loans paid,car (new),1207,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,24,none,rent,1,skilled,1,none,yes,1,1.0,1,2,1,2,2,0,2,0,1,2,1,0,1
511,none,10,current loans paid,car (new),1309,unknown/none,1 - 4 years,4,male-single,guarantor,4,building society savings/life insurance,27,none,own,1,unskilled-resident,1,none,yes,1,1.0,3,2,1,4,0,3,1,0,1,1,3,0,1
512,> 200 DM or salary assignment,15,critical account - other non-bank loans,car (used),2360,500 - 1000 DM,1 - 4 years,2,male-single,none,2,car or other,36,none,own,1,skilled,1,yes,yes,0,1.0,2,1,2,1,0,3,2,1,1,1,1,1,1
513,0 - 200 DM,15,all loans at bank paid,car (new),6850,100 - 500 DM,unemployed,1,male-single,none,2,building society savings/life insurance,34,none,own,1,highly skilled,2,yes,yes,1,1.0,0,0,1,0,4,3,2,0,1,1,0,1,1
514,none,24,current loans paid,radio/television,1413,< 100 DM,1 - 4 years,4,male-married/widowed,none,2,building society savings/life insurance,28,none,own,1,skilled,1,none,yes,0,1.0,3,2,7,2,0,2,2,0,1,1,1,0,1
515,none,39,current loans paid,car (used),8588,100 - 500 DM,>= 7 years,4,male-single,none,2,car or other,45,none,own,1,highly skilled,1,yes,yes,0,1.0,3,2,2,0,3,3,2,1,1,1,0,1,1
516,< 0 DM,12,current loans paid,car (new),759,< 100 DM,4 - 7 years,4,male-single,none,2,real estate,26,none,own,1,skilled,1,none,yes,1,1.0,1,2,1,2,1,3,2,2,1,1,1,0,1
517,none,36,current loans paid,car (used),4686,< 100 DM,1 - 4 years,2,male-single,none,2,unknown-none,32,none,for free,1,highly skilled,1,yes,yes,0,1.0,3,2,2,2,0,3,2,3,1,0,0,1,1
518,> 200 DM or salary assignment,15,current loans paid,business,2687,< 100 DM,4 - 7 years,2,male-single,none,4,building society savings/life insurance,26,none,rent,1,skilled,1,yes,yes,0,1.0,2,2,0,2,1,3,2,0,1,2,1,1,1
519,0 - 200 DM,12,past payment delays,radio/television,585,< 100 DM,1 - 4 years,4,male-married/widowed,co-applicant,4,real estate,20,none,rent,2,skilled,1,none,yes,0,1.0,0,4,7,2,0,2,0,2,1,2,1,0,1
520,none,24,current loans paid,car (new),2255,unknown/none,< 1 year,4,male-single,none,1,building society savings/life insurance,54,none,own,1,skilled,1,none,yes,0,1.0,3,2,1,4,2,3,2,0,1,1,1,0,1
521,< 0 DM,6,critical account - other non-bank loans,car (new),609,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,3,building society savings/life insurance,37,none,own,2,skilled,1,none,no,0,1.0,1,1,1,2,1,0,2,0,1,1,1,0,0
522,< 0 DM,6,critical account - other non-bank loans,car (new),1361,< 100 DM,< 1 year,2,male-single,none,4,real estate,40,none,own,1,unskilled-resident,2,none,no,0,1.0,1,1,1,2,2,3,2,2,1,1,3,0,0
523,none,36,critical account - other non-bank loans,furniture/equipment,7127,< 100 DM,< 1 year,2,female-divorced/separated/married,none,4,building society savings/life insurance,23,none,rent,2,skilled,1,yes,yes,1,1.0,3,1,5,2,2,0,2,0,1,2,1,1,1
524,< 0 DM,6,current loans paid,car (new),1203,100 - 500 DM,>= 7 years,3,male-single,none,2,building society savings/life insurance,43,none,own,1,skilled,1,yes,yes,0,1.0,1,2,1,0,3,3,2,0,1,1,1,1,1
525,none,6,critical account - other non-bank loans,radio/television,700,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,36,none,for free,2,skilled,1,none,yes,0,1.0,3,1,7,4,3,3,2,3,1,0,1,0,1
526,none,24,critical account - other non-bank loans,repairs,5507,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,44,none,for free,2,skilled,1,none,yes,0,1.0,3,1,8,2,3,3,2,3,1,0,1,0,1
527,< 0 DM,18,current loans paid,radio/television,3190,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,2,real estate,24,none,own,1,skilled,1,none,yes,1,1.0,1,2,7,2,0,0,2,2,1,1,1,0,1
528,< 0 DM,48,no credit - paid,furniture/equipment,7119,< 100 DM,1 - 4 years,3,male-single,none,4,unknown-none,53,none,for free,2,skilled,2,none,yes,1,1.0,1,3,5,2,0,3,2,3,1,0,1,0,1
529,none,24,current loans paid,car (used),3488,100 - 500 DM,4 - 7 years,3,female-divorced/separated/married,none,4,car or other,23,none,own,1,skilled,1,none,yes,0,1.0,3,2,2,0,1,0,2,1,1,1,1,0,1
530,0 - 200 DM,18,current loans paid,radio/television,1113,< 100 DM,1 - 4 years,4,female-divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled-resident,2,none,yes,0,1.0,0,2,7,2,0,0,1,2,1,1,3,0,1
531,0 - 200 DM,26,current loans paid,car (used),7966,< 100 DM,< 1 year,2,male-single,none,3,car or other,30,none,own,2,skilled,1,none,yes,0,1.0,0,2,2,2,2,3,2,1,1,1,1,0,1
532,none,15,critical account - other non-bank loans,education,1532,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,none,3,car or other,31,none,own,1,skilled,1,none,yes,0,1.0,3,1,4,0,0,0,2,1,1,1,1,0,1
533,none,4,critical account - other non-bank loans,radio/television,1503,< 100 DM,4 - 7 years,2,male-single,none,1,real estate,42,none,own,2,unskilled-resident,2,none,yes,0,1.0,3,1,7,2,1,3,2,2,1,1,3,0,1
534,< 0 DM,36,current loans paid,radio/television,2302,< 100 DM,1 - 4 years,4,male-divorced/separated,none,4,car or other,31,none,rent,1,skilled,1,none,yes,1,1.0,1,2,7,2,0,1,2,1,1,2,1,0,1
535,< 0 DM,6,current loans paid,car (new),662,< 100 DM,< 1 year,3,male-single,none,4,real estate,41,none,own,1,unskilled-resident,2,yes,yes,0,1.0,1,2,1,2,2,3,2,2,1,1,3,1,1
536,0 - 200 DM,36,current loans paid,education,2273,< 100 DM,4 - 7 years,3,male-single,none,1,car or other,32,none,own,2,skilled,2,none,yes,0,1.0,0,2,4,2,1,3,2,1,1,1,1,0,1
537,0 - 200 DM,15,current loans paid,car (new),2631,100 - 500 DM,1 - 4 years,2,female-divorced/separated/married,none,4,car or other,28,none,rent,2,skilled,1,yes,yes,1,1.0,0,2,1,0,0,0,2,1,1,2,1,1,1
538,none,12,past payment delays,car (used),1503,< 100 DM,1 - 4 years,4,male-married/widowed,none,4,real estate,41,none,rent,1,skilled,1,none,yes,0,1.0,3,4,2,2,0,2,2,2,1,2,1,0,1
539,none,24,current loans paid,radio/television,1311,100 - 500 DM,4 - 7 years,4,male-married/widowed,none,3,building society savings/life insurance,26,none,own,1,skilled,1,yes,yes,0,1.0,3,2,7,0,1,2,2,0,1,1,1,1,1
540,none,24,current loans paid,radio/television,3105,unknown/none,< 1 year,4,male-single,none,2,car or other,25,none,own,2,skilled,1,none,yes,0,1.0,3,2,7,4,2,3,2,1,1,1,1,0,1
541,> 200 DM or salary assignment,21,critical account - other non-bank loans,education,2319,< 100 DM,< 1 year,2,male-divorced/separated,none,1,car or other,33,none,rent,1,skilled,1,none,yes,1,1.0,2,1,4,2,2,1,2,1,1,2,1,0,1
542,< 0 DM,6,current loans paid,car (new),1374,unknown/none,unemployed,4,female-divorced/separated/married,none,3,building society savings/life insurance,75,none,own,1,highly skilled,1,yes,yes,0,1.0,1,2,1,4,4,0,2,0,1,1,0,1,1
543,0 - 200 DM,18,critical account - other non-bank loans,furniture/equipment,3612,< 100 DM,>= 7 years,3,female-divorced/separated/married,none,4,building society savings/life insurance,37,none,own,1,skilled,1,yes,yes,0,1.0,0,1,5,2,3,0,2,0,1,1,1,1,1
544,< 0 DM,48,current loans paid,car (new),7763,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,42,bank,for free,1,highly skilled,1,none,yes,1,1.0,1,2,1,2,3,3,2,3,0,0,0,0,1
545,> 200 DM or salary assignment,18,current loans paid,furniture/equipment,3049,< 100 DM,< 1 year,1,female-divorced/separated/married,none,1,building society savings/life insurance,45,stores,own,1,unskilled-resident,1,none,yes,0,1.0,2,2,5,2,2,0,2,0,2,1,3,0,1
546,0 - 200 DM,12,current loans paid,radio/television,1534,< 100 DM,< 1 year,1,male-married/widowed,none,1,real estate,23,none,rent,1,skilled,1,none,yes,1,1.0,0,2,7,2,2,2,2,2,1,2,1,0,1
547,none,24,past payment delays,car (new),2032,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,60,none,for free,2,skilled,1,yes,yes,0,1.0,3,4,1,2,3,3,2,3,1,0,1,1,1
548,< 0 DM,30,current loans paid,furniture/equipment,6350,unknown/none,>= 7 years,4,male-single,none,4,building society savings/life insurance,31,none,own,1,skilled,1,none,yes,1,1.0,1,2,5,4,3,3,2,0,1,1,1,0,1
549,> 200 DM or salary assignment,18,current loans paid,furniture/equipment,2864,< 100 DM,1 - 4 years,2,male-single,none,1,real estate,34,none,own,1,unskilled-resident,2,none,yes,1,1.0,2,2,5,2,0,3,2,2,1,1,3,0,1
550,none,12,critical account - other non-bank loans,car (new),1255,< 100 DM,>= 7 years,4,male-single,none,4,real estate,61,none,own,2,unskilled-resident,1,none,yes,0,1.0,3,1,1,2,3,3,2,2,1,1,3,0,1
551,< 0 DM,24,past payment delays,car (new),1333,< 100 DM,unemployed,4,male-single,none,2,real estate,43,none,for free,2,skilled,2,none,yes,1,1.0,1,4,1,2,4,3,2,2,1,0,1,0,1
552,none,24,critical account - other non-bank loans,car (new),2022,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,4,car or other,37,none,own,1,skilled,1,yes,yes,0,1.0,3,1,1,2,0,0,2,1,1,1,1,1,1
553,none,24,current loans paid,radio/television,1552,< 100 DM,4 - 7 years,3,male-single,none,1,car or other,32,bank,own,1,skilled,2,none,yes,0,1.0,3,2,7,2,1,3,2,1,0,1,1,0,1
554,< 0 DM,12,all loans at bank paid,radio/television,626,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled-resident,1,none,yes,1,1.0,1,0,7,2,0,0,2,2,0,1,3,0,1
555,none,48,critical account - other non-bank loans,car (used),8858,unknown/none,4 - 7 years,2,male-single,none,1,unknown-none,35,none,for free,2,skilled,1,yes,yes,0,1.0,3,1,2,4,1,3,2,3,1,0,1,1,1
556,none,12,critical account - other non-bank loans,repairs,996,unknown/none,4 - 7 years,4,female-divorced/separated/married,none,4,real estate,23,none,own,2,skilled,1,none,yes,0,1.0,3,1,8,4,1,0,2,2,1,1,1,0,1
557,none,6,all loans at bank paid,radio/television,1750,500 - 1000 DM,>= 7 years,2,male-single,none,4,building society savings/life insurance,45,bank,own,1,unskilled-resident,2,none,yes,0,1.0,3,0,7,1,3,3,2,0,0,1,3,0,1
558,< 0 DM,48,current loans paid,radio/television,6999,< 100 DM,4 - 7 years,1,male-married/widowed,guarantor,1,real estate,34,none,own,2,skilled,1,yes,yes,1,1.0,1,2,7,2,1,2,1,2,1,1,1,1,1
559,0 - 200 DM,12,critical account - other non-bank loans,car (new),1995,100 - 500 DM,< 1 year,4,male-single,none,1,car or other,27,none,own,1,skilled,1,none,yes,0,1.0,0,1,1,0,2,3,2,1,1,1,1,0,1
560,0 - 200 DM,9,current loans paid,education,1199,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,4,building society savings/life insurance,67,none,own,2,highly skilled,1,yes,yes,0,1.0,0,2,4,2,1,0,2,0,1,1,0,1,1
561,0 - 200 DM,12,current loans paid,radio/television,1331,< 100 DM,< 1 year,2,male-single,none,1,car or other,22,stores,own,1,skilled,1,none,yes,1,1.0,0,2,7,2,2,3,2,1,2,1,1,0,1
562,0 - 200 DM,18,no credit - paid,car (new),2278,100 - 500 DM,< 1 year,3,female-divorced/separated/married,none,3,car or other,28,none,own,2,skilled,1,none,yes,1,1.0,0,3,1,0,2,0,2,1,1,1,1,0,1
563,none,21,no credit - paid,car (new),5003,unknown/none,1 - 4 years,1,female-divorced/separated/married,none,4,building society savings/life insurance,29,bank,own,2,skilled,1,yes,yes,1,1.0,3,3,1,4,0,0,2,0,0,1,1,1,1
564,< 0 DM,24,all loans at bank paid,furniture/equipment,3552,< 100 DM,4 - 7 years,3,male-single,none,4,car or other,27,bank,own,1,skilled,1,none,yes,1,1.0,1,0,5,2,1,3,2,1,0,1,1,0,1
565,0 - 200 DM,18,critical account - other non-bank loans,furniture/equipment,1928,< 100 DM,< 1 year,2,male-single,none,2,real estate,31,none,own,2,unskilled-resident,1,none,yes,1,1.0,0,1,5,2,2,3,2,2,1,1,3,0,1
566,< 0 DM,24,current loans paid,car (used),2964,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,49,bank,for free,1,skilled,2,yes,yes,0,1.0,1,2,2,4,3,3,2,3,0,0,1,1,1
567,< 0 DM,24,all loans at bank paid,radio/television,1546,< 100 DM,4 - 7 years,4,male-single,guarantor,4,car or other,24,bank,rent,1,unskilled-resident,1,none,yes,1,1.0,1,0,7,2,1,3,1,1,0,2,3,0,1
568,> 200 DM or salary assignment,6,past payment delays,radio/television,683,< 100 DM,< 1 year,2,female-divorced/separated/married,none,1,building society savings/life insurance,29,bank,own,1,skilled,1,none,yes,0,1.0,2,4,7,2,2,0,2,0,0,1,1,0,1
569,0 - 200 DM,36,current loans paid,car (new),12389,unknown/none,1 - 4 years,1,male-single,none,4,unknown-none,37,none,for free,1,skilled,1,yes,yes,1,1.0,0,2,1,4,0,3,2,3,1,0,1,1,1
570,0 - 200 DM,24,past payment delays,business,4712,unknown/none,1 - 4 years,4,male-single,none,2,building society savings/life insurance,37,bank,own,2,highly skilled,1,yes,yes,0,1.0,0,4,0,4,0,3,2,0,0,1,0,1,1
571,0 - 200 DM,24,past payment delays,radio/television,1553,100 - 500 DM,4 - 7 years,3,female-divorced/separated/married,none,2,building society savings/life insurance,23,none,rent,2,skilled,1,yes,yes,0,1.0,0,4,7,0,1,0,2,0,1,2,1,1,1
572,< 0 DM,12,current loans paid,car (new),1372,< 100 DM,4 - 7 years,2,male-divorced/separated,none,3,car or other,36,none,own,1,skilled,1,none,yes,1,1.0,1,2,1,2,1,1,2,1,1,1,1,0,1
573,none,24,critical account - other non-bank loans,radio/television,2578,>= 1000 DM,>= 7 years,2,male-single,none,2,car or other,34,none,own,1,skilled,1,none,yes,0,1.0,3,1,7,3,3,3,2,1,1,1,1,0,1
574,0 - 200 DM,48,current loans paid,radio/television,3979,unknown/none,4 - 7 years,4,male-single,none,1,car or other,41,none,own,2,skilled,2,yes,yes,0,1.0,0,2,7,4,1,3,2,1,1,1,1,1,1
575,< 0 DM,48,current loans paid,radio/television,6758,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,2,car or other,31,none,own,1,skilled,1,yes,yes,1,1.0,1,2,7,2,0,0,2,1,1,1,1,1,1
576,< 0 DM,24,current loans paid,furniture/equipment,3234,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled-resident,1,yes,yes,1,1.0,1,2,5,2,2,0,2,2,1,2,3,1,1
577,none,30,critical account - other non-bank loans,radio/television,5954,< 100 DM,4 - 7 years,3,male-single,co-applicant,2,car or other,38,none,own,1,skilled,1,none,yes,0,1.0,3,1,7,2,1,3,0,1,1,1,1,0,1
578,none,24,current loans paid,car (used),5433,unknown/none,unemployed,2,female-divorced/separated/married,none,4,building society savings/life insurance,26,none,rent,1,highly skilled,1,yes,yes,0,1.0,3,2,2,4,4,0,2,0,1,2,0,1,1
579,< 0 DM,15,current loans paid,business,806,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,4,building society savings/life insurance,22,none,own,1,unskilled-resident,1,none,yes,0,1.0,1,2,0,2,0,0,2,0,1,1,3,0,1
580,0 - 200 DM,9,current loans paid,radio/television,1082,< 100 DM,>= 7 years,4,male-single,none,4,car or other,27,none,own,2,unskilled-resident,1,none,yes,0,1.0,0,2,7,2,3,3,2,1,1,1,3,0,1
581,none,15,critical account - other non-bank loans,furniture/equipment,2788,< 100 DM,4 - 7 years,2,female-divorced/separated/married,co-applicant,3,car or other,24,bank,own,2,skilled,1,none,yes,0,1.0,3,1,5,2,1,0,0,1,0,1,1,0,1
582,0 - 200 DM,12,current loans paid,radio/television,2930,< 100 DM,4 - 7 years,2,female-divorced/separated/married,none,1,real estate,27,none,own,1,skilled,1,none,yes,0,1.0,0,2,7,2,1,0,2,2,1,1,1,0,1
583,none,24,critical account - other non-bank loans,education,1927,unknown/none,1 - 4 years,3,female-divorced/separated/married,none,2,car or other,33,none,own,2,skilled,1,yes,yes,0,1.0,3,1,4,4,0,0,2,1,1,1,1,1,1
584,0 - 200 DM,36,critical account - other non-bank loans,car (new),2820,< 100 DM,< 1 year,4,male-divorced/separated,none,4,car or other,27,none,own,2,skilled,1,none,yes,1,1.0,0,1,1,2,2,1,2,1,1,1,1,0,1
585,none,24,current loans paid,retraining,937,< 100 DM,< 1 year,4,male-married/widowed,none,3,car or other,27,none,own,2,unskilled-resident,1,none,yes,0,1.0,3,2,9,2,2,2,2,1,1,1,3,0,1
586,0 - 200 DM,18,critical account - other non-bank loans,car (new),1056,< 100 DM,>= 7 years,3,male-single,guarantor,3,real estate,30,bank,own,2,skilled,1,none,yes,1,1.0,0,1,1,2,3,3,1,2,0,1,1,0,1
587,0 - 200 DM,12,critical account - other non-bank loans,car (new),3124,< 100 DM,< 1 year,1,male-single,none,3,real estate,49,bank,own,2,unskilled-resident,2,none,yes,0,1.0,0,1,1,2,2,3,2,2,0,1,3,0,1
588,none,9,current loans paid,furniture/equipment,1388,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,2,real estate,26,none,rent,1,skilled,1,none,yes,0,1.0,3,2,5,2,0,0,2,2,1,2,1,0,1
589,0 - 200 DM,36,current loans paid,repairs,2384,< 100 DM,< 1 year,4,male-single,none,1,unknown-none,33,none,rent,1,unskilled-resident,1,none,yes,1,1.0,0,2,8,2,2,3,2,3,1,2,3,0,1
590,none,12,current loans paid,car (new),2133,unknown/none,>= 7 years,4,female-divorced/separated/married,none,4,unknown-none,52,none,for free,1,highly skilled,1,yes,yes,0,1.0,3,2,1,4,3,0,2,3,1,0,0,1,1
591,< 0 DM,18,current loans paid,furniture/equipment,2039,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled,1,none,yes,1,1.0,1,2,5,2,0,0,2,2,0,2,1,0,1
592,< 0 DM,9,critical account - other non-bank loans,car (new),2799,< 100 DM,1 - 4 years,2,male-single,none,2,real estate,36,none,rent,2,skilled,2,none,yes,0,1.0,1,1,1,2,0,3,2,2,1,2,1,0,1
593,< 0 DM,12,current loans paid,furniture/equipment,1289,< 100 DM,1 - 4 years,4,male-single,guarantor,1,building society savings/life insurance,21,none,own,1,unskilled-resident,1,none,yes,0,1.0,1,2,5,2,0,3,1,0,1,1,3,0,1
594,< 0 DM,18,current loans paid,domestic appliances,1217,< 100 DM,1 - 4 years,4,male-married/widowed,none,3,real estate,47,none,own,1,unskilled-resident,1,yes,yes,1,1.0,1,2,3,2,0,2,2,2,1,1,3,1,1
595,< 0 DM,12,critical account - other non-bank loans,furniture/equipment,2246,< 100 DM,>= 7 years,3,male-single,none,3,building society savings/life insurance,60,none,own,2,skilled,1,none,yes,1,1.0,1,1,5,2,3,3,2,0,1,1,1,0,1
596,< 0 DM,12,critical account - other non-bank loans,radio/television,385,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,3,real estate,58,none,own,4,unskilled-resident,1,yes,yes,0,1.0,1,1,7,2,1,0,2,2,1,1,3,1,1
597,0 - 200 DM,24,past payment delays,car (new),1965,unknown/none,1 - 4 years,4,female-divorced/separated/married,none,4,car or other,42,none,rent,2,skilled,1,yes,yes,0,1.0,0,4,1,4,0,0,2,1,1,2,1,1,1
598,none,21,current loans paid,business,1572,>= 1000 DM,>= 7 years,4,female-divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled-resident,1,none,yes,0,1.0,3,2,0,3,3,0,2,2,0,1,3,0,1
599,0 - 200 DM,24,current loans paid,car (new),2718,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,4,building society savings/life insurance,20,none,rent,1,unskilled-resident,1,yes,yes,1,1.0,0,2,1,2,0,0,2,0,1,2,3,1,1
600,< 0 DM,24,all loans at bank paid,other,1358,unknown/none,>= 7 years,4,male-single,none,3,car or other,40,stores,own,1,highly skilled,1,yes,yes,1,1.0,1,0,6,4,3,3,2,1,2,1,0,1,1
601,0 - 200 DM,6,all loans at bank paid,car (new),931,100 - 500 DM,< 1 year,1,female-divorced/separated/married,none,1,building society savings/life insurance,32,stores,own,1,unskilled-resident,1,none,yes,1,1.0,0,0,1,0,2,0,2,0,2,1,3,0,1
602,< 0 DM,24,current loans paid,car (new),1442,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,4,car or other,23,none,rent,2,skilled,1,none,yes,1,1.0,1,2,1,2,1,0,2,1,1,2,1,0,1
603,0 - 200 DM,24,no credit - paid,business,4241,< 100 DM,1 - 4 years,1,male-single,none,4,real estate,36,none,own,3,unskilled-resident,1,yes,yes,1,1.0,0,3,0,2,0,3,2,2,1,1,3,1,1
604,none,18,critical account - other non-bank loans,car (new),2775,< 100 DM,4 - 7 years,2,male-single,none,2,building society savings/life insurance,31,bank,own,2,skilled,1,none,yes,1,1.0,3,1,1,2,1,3,2,0,0,1,1,0,1
605,none,24,past payment delays,business,3863,< 100 DM,1 - 4 years,1,male-single,none,2,unknown-none,32,none,for free,1,skilled,1,none,yes,0,1.0,3,4,0,2,0,3,2,3,1,0,1,0,1
606,0 - 200 DM,7,current loans paid,radio/television,2329,< 100 DM,< 1 year,1,female-divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled,1,none,yes,0,1.0,0,2,7,2,2,0,1,2,1,1,1,0,1
607,0 - 200 DM,9,current loans paid,furniture/equipment,918,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,1,building society savings/life insurance,30,none,own,1,skilled,1,none,yes,1,1.0,0,2,5,2,0,0,2,0,1,1,1,0,1
608,0 - 200 DM,24,all loans at bank paid,education,1837,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,4,unknown-none,34,bank,for free,1,unskilled-resident,1,none,yes,1,1.0,0,0,4,2,1,0,2,3,0,0,3,0,1
609,none,36,current loans paid,furniture/equipment,3349,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,2,car or other,28,none,own,1,highly skilled,1,yes,yes,1,1.0,3,2,5,2,0,0,2,1,1,1,0,1,1
610,> 200 DM or salary assignment,10,current loans paid,furniture/equipment,1275,< 100 DM,< 1 year,4,female-divorced/separated/married,none,2,building society savings/life insurance,23,none,own,1,skilled,1,none,yes,0,1.0,2,2,5,2,2,0,2,0,1,1,1,0,1
611,< 0 DM,24,all loans at bank paid,furniture/equipment,2828,500 - 1000 DM,1 - 4 years,4,male-single,none,4,real estate,22,stores,own,1,skilled,1,yes,yes,0,1.0,1,0,5,1,0,3,2,2,2,1,1,1,1
612,none,24,critical account - other non-bank loans,business,4526,< 100 DM,1 - 4 years,3,male-single,none,2,real estate,74,none,own,1,highly skilled,1,yes,yes,0,1.0,3,1,0,2,0,3,2,2,1,1,0,1,1
613,0 - 200 DM,36,current loans paid,radio/television,2671,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,co-applicant,4,unknown-none,50,none,for free,1,skilled,1,none,yes,1,1.0,0,2,7,0,0,0,0,3,1,0,1,0,1
614,none,18,current loans paid,radio/television,2051,< 100 DM,< 1 year,4,male-single,none,1,real estate,33,none,own,1,skilled,1,none,yes,0,1.0,3,2,7,2,2,3,2,2,1,1,1,0,1
615,none,15,current loans paid,car (used),1300,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,45,bank,for free,1,skilled,2,none,yes,0,1.0,3,2,2,4,3,3,2,3,0,0,1,0,1
616,< 0 DM,12,current loans paid,domestic appliances,741,100 - 500 DM,unemployed,4,female-divorced/separated/married,none,3,building society savings/life insurance,22,none,own,1,skilled,1,none,yes,1,1.0,1,2,3,0,4,0,2,0,1,1,1,0,1
617,> 200 DM or salary assignment,10,current loans paid,car (new),1240,100 - 500 DM,>= 7 years,1,female-divorced/separated/married,none,4,unknown-none,48,none,for free,1,unskilled-resident,2,none,yes,1,1.0,2,2,1,0,3,0,2,3,1,0,3,0,1
618,< 0 DM,21,current loans paid,radio/television,3357,>= 1000 DM,< 1 year,4,female-divorced/separated/married,none,2,car or other,29,bank,own,1,skilled,1,none,yes,0,1.0,1,2,7,3,2,0,2,1,0,1,1,0,1
619,< 0 DM,24,all loans at bank paid,car (used),3632,< 100 DM,1 - 4 years,1,female-divorced/separated/married,guarantor,4,car or other,22,bank,rent,1,skilled,1,none,no,0,1.0,1,0,2,2,0,0,1,1,0,2,1,0,0
620,none,18,past payment delays,furniture/equipment,1808,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,1,real estate,22,none,own,1,skilled,1,none,yes,1,1.0,3,4,5,2,1,0,2,2,1,1,1,0,1
